inspection_id,batch_id,production_date,inspection_ts,sample_size,defects_found,outcome,defect_type
I5bfffdd07723,B5bfffdd07723,2021-01-02,2021-01-02 07:57:38.823529410,7,0,PASS,
I4d097fc2073f,B4d097fc2073f,2021-01-02,2021-01-02 09:25:53.137701549,5,0,PASS,
I02717d1cb425,B02717d1cb425,2021-01-02,2021-01-02 12:01:31.361304448,5,0,PASS,
Ia518dc3d9461,Ba518dc3d9461,2021-01-02,2021-01-02 13:08:27.047578958,5,0,PASS,
Ia87a5b286bef,Ba87a5b286bef,2021-01-02,2021-01-02 15:57:13.931901388,5,0,PASS,
I509fdc06db92,B509fdc06db92,2021-01-02,2021-01-02 02:48:12.817061070,5,0,PASS,
Id42c2e0455f5,Bd42c2e0455f5,2021-01-04,2021-01-04 04:50:48.241306743,5,0,PASS,
I7d45830cbb76,B7d45830cbb76,2021-01-04,2021-01-04 05:15:54.123659685,5,1,PASS,
I16a2e72fb794,B16a2e72fb794,2021-01-05,2021-01-05 03:40:23.529411763,5,0,PASS,
I8c2003cd31a4,B8c2003cd31a4,2021-01-05,2021-01-05 04:30:15.784537049,5,0,PASS,
I5784fc528511,B5784fc528511,2021-01-05,2021-01-05 02:03:56.601674332,5,0,PASS,
I3cfcd1d72e4c,B3cfcd1d72e4c,2021-01-05,2021-01-05 05:31:36.687767165,5,0,PASS,
I60b16f374426,B60b16f374426,2021-01-05,2021-01-05 02:05:22.876317276,5,0,PASS,
I56f6b0135d44,B56f6b0135d44,2021-01-07,2021-01-07 04:21:29.411764705,5,0,PASS,
I6978047ce468,B6978047ce468,2021-01-07,2021-01-07 04:33:04.832308586,5,0,PASS,
I0a77c51fccb6,B0a77c51fccb6,2021-01-07,2021-01-07 02:02:27.058823529,5,0,PASS,
I99e69631ac72,B99e69631ac72,2021-01-07,2021-01-07 04:49:22.652337847,5,0,PASS,
I7f014b1130eb,B7f014b1130eb,2021-01-07,2021-01-07 05:09:14.853356186,5,1,PASS,
I37c6508e8638,B37c6508e8638,2021-01-08,2021-01-08 03:16:51.764705882,5,0,PASS,
I95e5571ab18c,B95e5571ab18c,2021-01-08,2021-01-08 05:37:44.379957720,5,0,FAIL,underweight
I07d73d2e59c4,B07d73d2e59c4,2021-01-09,2021-01-09 05:35:41.176470588,29,5,PASS,
I35bbd6a8687f,B35bbd6a8687f,2021-01-09,2021-01-09 02:13:14.117647058,8,3,PASS,
I810c83a30796,B810c83a30796,2021-01-09,2021-01-09 02:28:33.729747658,5,0,PASS,
I34cef4184de2,B34cef4184de2,2021-01-09,2021-01-09 06:26:39.999999999,5,0,PASS,
Ic08d3ac50185,Bc08d3ac50185,2021-01-09,2021-01-09 07:36:15.686274509,5,0,PASS,
Ifedbdeb7b1fa,Bfedbdeb7b1fa,2021-01-09,2021-01-09 07:59:04.020128028,5,0,PASS,
I3dc0213628eb,B3dc0213628eb,2021-01-09,2021-01-09 09:07:12.606158693,5,2,PASS,
I0f94af5eae4c,B0f94af5eae4c,2021-01-09,2021-01-09 11:05:43.432226769,5,0,PASS,
Idb6e60e81a02,Bdb6e60e81a02,2021-01-09,2021-01-09 12:04:24.385655663,5,0,PASS,
I7caebdff0ded,B7caebdff0ded,2021-01-09,2021-01-09 02:31:06.671396171,5,0,FAIL,colour
Ic8cc4b8d043e,Bc8cc4b8d043e,2021-01-09,2021-01-09 02:34:42.358003531,5,0,PASS,
I933f8112e574,B933f8112e574,2021-01-09,2021-01-09 02:37:03.534474119,5,0,PASS,
Ifbd706fb62fb,Bfbd706fb62fb,2021-01-11,2021-01-11 03:09:01.176470588,5,0,PASS,
I8efacaa428fe,B8efacaa428fe,2021-01-11,2021-01-11 03:49:48.235294117,5,0,PASS,
If873d3d13c6d,Bf873d3d13c6d,2021-01-14,2021-01-14 02:03:55.294117647,5,0,PASS,
Ieaf39e823ce5,Beaf39e823ce5,2021-01-14,2021-01-14 02:08:02.354084972,5,0,PASS,
I15aafe3bca3f,B15aafe3bca3f,2021-01-14,2021-01-14 04:42:24.530497062,5,0,PASS,
I32b8b4c3e4f2,B32b8b4c3e4f2,2021-01-14,2021-01-14 05:11:41.393242160,5,0,PASS,
I82bda74689cd,B82bda74689cd,2021-01-14,2021-01-14 05:40:58.255987258,5,0,PASS,
I9536fa01a6b5,B9536fa01a6b5,2021-01-15,2021-01-15 02:11:59.609495287,5,0,PASS,
I66eec61fbd2b,B66eec61fbd2b,2021-01-15,2021-01-15 03:44:43.921568626,5,0,PASS,
I5dfe4e027705,B5dfe4e027705,2021-01-15,2021-01-15 02:13:54.642352545,5,1,FAIL,underproofed
I2766079699be,B2766079699be,2021-01-15,2021-01-15 05:16:40.012025252,5,0,PASS,
I4ba6ee690bbb,B4ba6ee690bbb,2021-01-16,2021-01-16 06:34:30.588235293,5,1,PASS,
Ib63a2d0a3671,Bb63a2d0a3671,2021-01-16,2021-01-16 07:20:47.058823529,5,0,PASS,
I700565005f75,B700565005f75,2021-01-16,2021-01-16 09:09:42.679988285,5,1,PASS,
I75cc37271404,B75cc37271404,2021-01-16,2021-01-16 10:13:50.760958322,5,2,PASS,
Ifc71fffd0976,Bfc71fffd0976,2021-01-16,2021-01-16 11:36:02.587482035,5,0,PASS,
I14278222482c,B14278222482c,2021-01-16,2021-01-16 12:25:43.090027881,5,0,PASS,
I1dd013c008f2,B1dd013c008f2,2021-01-16,2021-01-16 13:58:42.320601138,5,0,PASS,
I7ed9697da02c,B7ed9697da02c,2021-01-16,2021-01-16 02:02:21.176470588,5,0,PASS,
Ie65d20bdcb31,Be65d20bdcb31,2021-01-18,2021-01-18 02:05:49.020497462,5,0,PASS,
I583da5886302,B583da5886302,2021-01-18,2021-01-18 04:27:12.617562941,5,0,PASS,
I9cccfd7ff48f,B9cccfd7ff48f,2021-01-18,2021-01-18 02:09:10.327997663,5,1,PASS,
I8e1b6eb2504b,B8e1b6eb2504b,2021-01-18,2021-01-18 04:48:07.519523725,5,0,PASS,
I14f959a849f7,B14f959a849f7,2021-01-19,2021-01-19 03:13:43.529411764,9,0,PASS,
I8f295ab8df90,B8f295ab8df90,2021-01-19,2021-01-19 03:54:47.492697209,5,0,PASS,
Ic1efc4e0fbc5,Bc1efc4e0fbc5,2021-01-19,2021-01-19 02:04:54.117647058,5,0,PASS,
I7ee96c4e0f80,B7ee96c4e0f80,2021-01-19,2021-01-19 02:04:42.352941176,5,0,PASS,
Ifd6a25180f28,Bfd6a25180f28,2021-01-21,2021-01-21 02:04:08.366537563,5,0,PASS,
Id82b2ca7c465,Bd82b2ca7c465,2021-01-22,2021-01-22 03:05:52.941176470,8,1,PASS,
I65a9b7610e03,B65a9b7610e03,2021-01-22,2021-01-22 02:04:54.117647058,5,0,PASS,
I1adc6b84d96d,B1adc6b84d96d,2021-01-22,2021-01-22 02:07:03.529411764,5,1,PASS,
I0cc385cc5574,B0cc385cc5574,2021-01-23,2021-01-23 06:07:03.529411763,5,0,PASS,
I8d8de238b05f,B8d8de238b05f,2021-01-23,2021-01-23 02:22:42.748592970,5,0,PASS,
I05cc809be8ce,B05cc809be8ce,2021-01-23,2021-01-23 06:48:37.647058822,5,0,PASS,
If152afa41f34,Bf152afa41f34,2021-01-23,2021-01-23 08:25:01.391291730,5,0,PASS,
